Number,Wiki,Language,Language (local),Good,Total,Edits,Admins,Users,Active Users,Files,Stub Ratio,Version,License,Archive,HTTP,ID,mt,Last update
1,en,English,English,6644971,57986628,1145666295,907,45393707,127672,900734,0.1146,1.41.0-wmf.4,n/a,archive,200,2,8,2023-04-18 00:00:05 (~ 6 hrs ago)
2,ceb,Cebuano,Sinugboanong Binisaya,6123559,11226144,34900715,5,101869,145,0,0.5455,1.41.0-wmf.4,n/a,archive,200,153,8,2023-04-18 00:04:45 (~ 6 hrs ago)
3,de,German,Deutsch,2792856,7708815,231395505,182,4130303,18356,127414,0.3623,1.41.0-wmf.4,n/a,archive,200,10,8,2023-04-18 00:07:36 (~ 5 hrs ago)
4,sv,Swedish,Svenska,2561664,6165219,52410956,67,862559,2234,0,0.4155,1.41.0-wmf.4,n/a,archive,200,16,8,2023-04-18 00:07:28 (~ 5 hrs ago)
5,fr,French,Français,2514678,12521816,202978198,152,4636681,18890,70579,0.2008,1.41.0-wmf.4,n/a,archive,200,1,8,2023-04-18 00:07:53 (~ 5 hrs ago)
6,nl,Dutch,Nederlands,2120751,4527761,64005653,35,1270928,3896,20,0.4684,1.41.0-wmf.4,n/a,archive,200,8,8,2023-04-18 00:07:40 (~ 5 hrs ago)
7,ru,Russian,Русский,1909411,7658641,129583630,75,3371475,10977,243060,0.2493,1.41.0-wmf.4,n/a,archive,200,24,8,2023-04-18 00:00:22 (~ 6 hrs ago)
8,es,Spanish,Español,1855009,7886283,150154390,60,6821579,14773,0,0.2352,1.41.0-wmf.4,n/a,archive,200,22,8,2023-04-18 00:00:18 (~ 6 hrs ago)
9,it,Italian,Italiano,1807003,7695911,132756104,120,2372459,8257,132615,0.2348,1.41.0-wmf.4,n/a,archive,200,4,8,2023-04-18 00:07:48 (~ 5 hrs ago)
10,arz,Egyptian Arabic,مصرى (Maṣrī),1617287,2067492,8080856,7,208016,196,1481,0.7822,1.41.0-wmf.4,n/a,archive,200,281,8,2023-04-18 00:09:26 (~ 5 hrs ago)
11,pl,Polish,Polski,1564822,3606324,69928813,99,1231938,4278,261,0.4339,1.41.0-wmf.4,n/a,archive,200,3,8,2023-04-18 00:07:51 (~ 5 hrs ago)
12,ja,Japanese,日本語,1370514,4034121,94621223,42,2061155,14652,5984,0.3397,1.41.0-wmf.4,n/a,archive,200,20,8,2023-04-18 00:07:15 (~ 5 hrs ago)
13,zh,Chinese,中文,1347355,7360252,76551377,66,3337105,8330,63145,0.1831,1.41.0-wmf.4,n/a,archive,200,6,8,2023-04-18 00:07:44 (~ 5 hrs ago)
14,vi,Vietnamese,Tiếng Việt,1282569,19416216,69839185,19,906376,2060,25531,0.0661,1.41.0-wmf.4,n/a,archive,200,39,8,2023-04-18 00:00:53 (~ 6 hrs ago)
15,war,Waray-Waray,Winaray,1266103,2870520,6422884,3,55052,62,42,0.4411,1.41.0-wmf.4,n/a,archive,200,212,8,2023-04-18 00:06:40 (~ 5 hrs ago)
16,uk,Ukrainian,Українська,1259207,4365118,39172360,48,683638,4079,112014,0.2885,1.41.0-wmf.4,n/a,archive,200,44,8,2023-04-18 00:01:04 (~ 6 hrs ago)
17,ar,Arabic,العربية,1204396,8071592,62092434,21,2408117,4639,51606,0.1492,1.41.0-wmf.4,n/a,archive,200,40,8,2023-04-18 00:00:55 (~ 6 hrs ago)
18,pt,Portuguese,Português,1101862,5499298,65523708,52,2903492,8984,59391,0.2004,1.41.0-wmf.4,n/a,archive,200,13,8,2023-04-18 00:07:30 (~ 5 hrs ago)
19,fa,Persian,فارسی,960057,5491015,36896223,37,1210693,5747,85113,0.1748,1.41.0-wmf.4,n/a,archive,200,27,8,2023-04-18 00:00:28 (~ 6 hrs ago)
20,ca,Catalan,Català,725399,1810742,31510984,30,447150,1163,13563,0.4006,1.41.0-wmf.4,n/a,archive,200,48,8,2023-04-18 00:01:12 (~ 6 hrs ago)
21,sr,Serbian,Српски / Srpski,669984,4020647,25654759,17,325196,900,37767,0.1666,1.41.0-wmf.4,n/a,archive,200,50,8,2023-04-18 00:01:16 (~ 6 hrs ago)
22,id,Indonesian,Bahasa Indonesia,643730,3470113,23246434,44,1399954,3315,47445,0.1855,1.41.0-wmf.4,n/a,archive,200,46,8,2023-04-18 00:01:08 (~ 6 hrs ago)
23,ko,Korean,한국어,631246,3062536,34679521,28,782551,1733,13048,0.2061,1.41.0-wmf.4,n/a,archive,200,25,8,2023-04-18 00:00:24 (~ 6 hrs ago)
24,no,Norwegian (Bokmål),Norsk (Bokmål),609247,1745567,23446555,45,578719,1166,4,0.349,1.41.0-wmf.4,n/a,archive,200,21,8,2023-04-18 00:07:17 (~ 5 hrs ago)
25,ce,Chechen,Нохчийн,599705,1188075,9675528,3,33390,49,322,0.5048,1.41.0-wmf.4,n/a,archive,200,152,8,2023-04-18 00:04:43 (~ 6 hrs ago)
26,fi,Finnish,Suomi,550915,1443615,21401119,33,542554,1927,72612,0.3816,1.41.0-wmf.4,n/a,archive,200,9,8,2023-04-18 00:07:38 (~ 5 hrs ago)
27,hu,Hungarian,Magyar,524174,1500214,25974835,25,530210,1689,8720,0.3494,1.41.0-wmf.4,n/a,archive,200,15,8,2023-04-18 00:07:13 (~ 5 hrs ago)
28,cs,Czech,Čeština,522785,1461901,22673944,31,615933,2540,1,0.3576,1.41.0-wmf.4,n/a,archive,200,36,8,2023-04-18 00:00:47 (~ 6 hrs ago)
29,tr,Turkish,Türkçe,518592,2450226,29545338,19,1488831,3474,38855,0.2117,1.41.0-wmf.4,n/a,archive,200,32,8,2023-04-18 00:00:39 (~ 6 hrs ago)
30,tt,Tatar,Tatarça / Татарча,499984,746431,4023565,6,46221,98,6330,0.6698,1.41.0-wmf.4,n/a,archive,200,104,8,2023-04-18 00:03:11 (~ 6 hrs ago)
31,sh,Serbo-Croatian,Srpskohrvatski / Српскохрватски,457999,4647585,41405614,8,184383,185,10191,0.0985,1.41.0-wmf.4,n/a,archive,200,199,8,2023-04-18 00:06:15 (~ 5 hrs ago)
32,ro,Romanian,Română,437994,2668402,15601013,17,614694,969,116931,0.1641,1.41.0-wmf.4,n/a,archive,200,47,8,2023-04-18 00:01:10 (~ 6 hrs ago)
33,zh-min-nan,Min Nan,Bân-lâm-gú,432440,1067462,3167962,6,57110,99,335,0.4051,1.41.0-wmf.4,n/a,archive,200,214,8,2023-04-18 00:06:44 (~ 5 hrs ago)
34,eu,Basque,Euskara,409882,857831,9244399,12,147109,527,0,0.4778,1.41.0-wmf.4,n/a,archive,200,60,8,2023-04-18 00:01:37 (~ 6 hrs ago)
35,ms,Malay,Bahasa Melayu,364329,1053279,5806094,16,312066,616,19041,0.3459,1.41.0-wmf.4,n/a,archive,200,81,8,2023-04-18 00:02:23 (~ 6 hrs ago)
36,eo,Esperanto,Esperanto,335371,746845,8021008,16,208237,307,13895,0.4491,1.41.0-wmf.4,n/a,archive,200,51,8,2023-04-18 00:01:18 (~ 6 hrs ago)
37,he,Hebrew,עברית,333202,1409566,36072296,28,1069300,2929,76423,0.2364,1.41.0-wmf.4,n/a,archive,200,26,8,2023-04-18 00:00:26 (~ 6 hrs ago)
38,hy,Armenian,Հայերեն,296772,1002460,8663296,11,131575,533,11664,0.296,1.41.0-wmf.4,n/a,archive,200,69,8,2023-04-18 00:01:57 (~ 6 hrs ago)
39,da,Danish,Dansk,290907,923730,11430677,25,452901,791,0,0.3149,1.41.0-wmf.4,n/a,archive,200,28,8,2023-04-18 00:00:30 (~ 6 hrs ago)
40,bg,Bulgarian,Български,290095,648285,11735500,25,323792,753,484,0.4475,1.41.0-wmf.4,n/a,archive,200,7,8,2023-04-18 00:07:42 (~ 5 hrs ago)
41,cy,Welsh,Cymraeg,278666,435171,11755844,16,79711,124,11307,0.6404,1.41.0-wmf.4,n/a,archive,200,56,8,2023-04-18 00:01:29 (~ 6 hrs ago)
42,sk,Slovak,Slovenčina,244413,557631,7542894,10,232741,617,0,0.4383,1.41.0-wmf.4,n/a,archive,200,35,8,2023-04-18 00:00:45 (~ 6 hrs ago)
43,azb,South Azerbaijani,تۆرکجه,242979,575822,1543406,4,42069,99,301,0.422,1.41.0-wmf.4,n/a,archive,200,309,8,2023-04-18 00:08:35 (~ 5 hrs ago)
44,et,Estonian,Eesti,235468,556497,6369471,34,177804,753,775,0.4231,1.41.0-wmf.4,n/a,archive,200,14,8,2023-04-18 00:07:11 (~ 5 hrs ago)
45,uz,Uzbek,O‘zbek,233977,838892,3664899,19,95800,1320,2664,0.2789,1.41.0-wmf.4,n/a,archive,200,88,8,2023-04-18 00:02:38 (~ 6 hrs ago)
46,kk,Kazakh,Қазақша,233323,598881,3148384,14,129059,325,10540,0.3896,1.41.0-wmf.4,n/a,archive,200,43,8,2023-04-18 00:01:02 (~ 6 hrs ago)
47,be,Belarusian,Беларуская,230301,666032,4471067,10,128643,290,3303,0.3458,1.41.0-wmf.4,n/a,archive,200,87,8,2023-04-18 00:02:35 (~ 6 hrs ago)
48,simple,Simple English,Simple English,228978,744313,8752964,18,1294985,1236,36,0.3076,1.41.0-wmf.4,n/a,archive,200,52,8,2023-04-18 00:01:20 (~ 6 hrs ago)
49,min,Minangkabau,Baso Minangkabau,226592,387501,2505288,5,17356,40,178,0.5848,1.41.0-wmf.4,n/a,archive,200,304,8,2023-04-18 00:08:40 (~ 5 hrs ago)
50,el,Greek,Ελληνικά,220238,650558,9989359,21,388990,1046,18961,0.3385,1.41.0-wmf.4,n/a,archive,200,18,8,2023-04-18 00:07:23 (~ 5 hrs ago)
51,hr,Croatian,Hrvatski,214445,449612,6608714,12,291629,523,21403,0.477,1.41.0-wmf.4,n/a,archive,200,37,8,2023-04-18 00:00:49 (~ 6 hrs ago)
52,lt,Lithuanian,Lietuvių,209845,514534,6927253,10,174152,371,24675,0.4078,1.41.0-wmf.4,n/a,archive,200,58,8,2023-04-18 00:01:33 (~ 6 hrs ago)
53,gl,Galician,Galego,195773,493351,6368704,8,134643,288,274,0.3968,1.41.0-wmf.4,n/a,archive,200,11,8,2023-04-18 00:07:34 (~ 5 hrs ago)
54,az,Azerbaijani,Azərbaycanca,193620,529805,6970354,15,267486,717,19983,0.3655,1.41.0-wmf.4,n/a,archive,200,116,8,2023-04-18 00:03:34 (~ 6 hrs ago)
55,ur,Urdu,اردو,188928,1034434,5347915,11,161608,304,14046,0.1826,1.41.0-wmf.4,n/a,archive,200,72,8,2023-04-18 00:02:04 (~ 6 hrs ago)
56,sl,Slovenian,Slovenščina,180722,453411,5971756,22,220804,355,8380,0.3986,1.41.0-wmf.4,n/a,archive,200,19,8,2023-04-18 00:07:21 (~ 5 hrs ago)
57,ka,Georgian,ქართული,167200,471151,4496889,6,149659,267,15087,0.3549,1.41.0-wmf.4,n/a,archive,200,65,8,2023-04-18 00:01:49 (~ 6 hrs ago)
58,nn,Norwegian (Nynorsk),Nynorsk,165092,379247,3469507,14,127155,131,16,0.4353,1.41.0-wmf.4,n/a,archive,200,83,8,2023-04-18 00:02:27 (~ 6 hrs ago)
59,hi,Hindi,हिन्दी,156213,1244759,5816568,6,753762,1539,3733,0.1255,1.41.0-wmf.4,n/a,archive,200,30,8,2023-04-18 00:00:35 (~ 6 hrs ago)
60,th,Thai,ไทย,155278,1019795,10677852,17,445730,1099,26558,0.1523,1.41.0-wmf.4,n/a,archive,200,57,8,2023-04-18 00:01:31 (~ 6 hrs ago)
61,ta,Tamil,தமிழ்,153564,486352,3686345,29,217928,389,8048,0.3157,1.41.0-wmf.4,n/a,archive,200,31,8,2023-04-18 00:00:37 (~ 6 hrs ago)
62,la,Latin,Latina,137729,278039,3755438,17,166548,146,0,0.4954,1.41.0-wmf.4,n/a,archive,200,23,8,2023-04-18 00:00:20 (~ 6 hrs ago)
63,bn,Bengali,বাংলা,137260,1165181,6603776,13,416172,1329,16364,0.1178,1.41.0-wmf.4,n/a,archive,200,93,8,2023-04-18 00:02:48 (~ 6 hrs ago)
64,mk,Macedonian,Македонски,135626,538310,4956031,12,108328,273,8710,0.2519,1.41.0-wmf.4,n/a,archive,200,100,8,2023-04-18 00:03:03 (~ 6 hrs ago)
65,ast,Asturian,Asturianu,132103,234962,3954996,9,112956,116,0,0.5622,1.41.0-wmf.4,n/a,archive,200,63,8,2023-04-18 00:01:43 (~ 6 hrs ago)
66,zh-yue,Cantonese,粵語,131097,295526,1969235,12,254444,295,2657,0.4436,1.41.0-wmf.4,n/a,archive,200,235,8,2023-04-18 00:10:56 (~ 5 hrs ago)
67,lld,Ladin,Ladin,130206,135447,178679,3,3393,36,3,0.9613,1.41.0-wmf.4,n/a,archive,200,336,8,2023-04-18 00:00:10 (~ 6 hrs ago)
68,lv,Latvian,Latviešu,119476,485219,3823377,13,113539,285,26068,0.2462,1.41.0-wmf.4,n/a,archive,200,70,8,2023-04-18 00:01:59 (~ 6 hrs ago)
69,tg,Tajik,Тоҷикӣ,109514,266490,1344782,6,38673,62,493,0.4109,1.41.0-wmf.4,n/a,archive,200,68,8,2023-04-18 00:01:55 (~ 6 hrs ago)
70,af,Afrikaans,Afrikaans,107608,378905,2566002,13,161125,159,9649,0.284,1.41.0-wmf.4,n/a,archive,200,38,8,2023-04-18 00:00:51 (~ 6 hrs ago)
71,my,Burmese,မြန်မာဘာသာ,106339,228154,787148,4,110155,125,2976,0.4661,1.41.0-wmf.4,n/a,archive,200,129,8,2023-04-18 00:03:59 (~ 6 hrs ago)
72,mg,Malagasy,Malagasy,95491,246370,1054478,3,30424,35,3,0.3876,1.41.0-wmf.4,n/a,archive,200,74,8,2023-04-18 00:02:08 (~ 6 hrs ago)
73,bs,Bosnian,Bosanski,91795,371741,3500812,9,151163,166,5484,0.2469,1.41.0-wmf.4,n/a,archive,200,53,8,2023-04-18 00:01:23 (~ 6 hrs ago)
74,mr,Marathi,मराठी,91728,303190,2258182,10,152838,217,19093,0.3025,1.41.0-wmf.4,n/a,archive,200,128,8,2023-04-18 00:03:57 (~ 6 hrs ago)
75,sq,Albanian,Shqip,89396,273992,2541765,11,150866,303,4192,0.3263,1.41.0-wmf.4,n/a,archive,200,71,8,2023-04-18 00:02:02 (~ 6 hrs ago)
76,oc,Occitan,Occitan,88535,158767,2359256,4,50837,99,888,0.5576,1.41.0-wmf.4,n/a,archive,200,62,8,2023-04-18 00:01:41 (~ 6 hrs ago)
77,nds,Low Saxon,Plattdüütsch,84184,164706,995288,4,50908,46,0,0.5111,1.41.0-wmf.4,n/a,archive,200,49,8,2023-04-18 00:01:14 (~ 6 hrs ago)
78,ml,Malayalam,മലയാളം,83403,507929,3826344,15,170358,234,7048,0.1642,1.41.0-wmf.4,n/a,archive,200,41,8,2023-04-18 00:00:58 (~ 6 hrs ago)
79,be-tarask,Belarusian (Taraškievica),Беларуская (тарашкевіца),82280,234678,2380173,4,79805,123,1980,0.3506,1.41.0-wmf.4,n/a,archive,200,264,8,2023-04-18 00:09:57 (~ 5 hrs ago)
80,te,Telugu,తెలుగు,82135,322142,3841962,14,120362,202,14105,0.255,1.41.0-wmf.4,n/a,archive,200,76,8,2023-04-18 00:02:12 (~ 6 hrs ago)
81,ky,Kirghiz,Кыргызча,80377,110733,442559,2,35889,92,2687,0.7259,1.41.0-wmf.4,n/a,archive,200,103,8,2023-04-18 00:03:09 (~ 6 hrs ago)
82,br,Breton,Brezhoneg,79259,149947,2041267,6,73635,100,5304,0.5286,1.41.0-wmf.4,n/a,archive,200,105,8,2023-04-18 00:03:13 (~ 6 hrs ago)
83,sw,Swahili,Kiswahili,76896,162075,1276058,14,60134,195,2286,0.4744,1.41.0-wmf.4,n/a,archive,200,66,8,2023-04-18 00:01:51 (~ 6 hrs ago)
84,jv,Javanese,Basa Jawa,72463,181830,1629715,5,57067,79,5452,0.3985,1.41.0-wmf.4,n/a,archive,200,94,8,2023-04-18 00:02:50 (~ 6 hrs ago)
85,new,Newar / Nepal Bhasa,नेपाल भाषा,72348,166257,865927,2,26104,20,0,0.4352,1.41.0-wmf.4,n/a,archive,200,245,8,2023-04-18 00:10:35 (~ 5 hrs ago)
86,vec,Venetian,Vèneto,69154,141038,1107760,4,33628,45,724,0.4903,1.41.0-wmf.4,n/a,archive,200,210,8,2023-04-18 00:06:37 (~ 5 hrs ago)
87,pnb,Western Panjabi,شاہ مکھی پنجابی (Shāhmukhī Pañjābī),68550,119601,620554,2,34578,59,144,0.5732,1.41.0-wmf.4,n/a,archive,200,285,8,2023-04-18 00:09:19 (~ 5 hrs ago)
88,ht,Haitian,Krèyol ayisyen,68412,83645,820625,3,30267,49,0,0.8179,1.41.0-wmf.4,n/a,archive,200,167,8,2023-04-18 00:05:14 (~ 6 hrs ago)
89,pms,Piedmontese,Piemontèis,67870,103387,864756,4,26302,44,2069,0.6565,1.41.0-wmf.4,n/a,archive,200,242,8,2023-04-18 00:10:41 (~ 5 hrs ago)
90,ba,Bashkir,Башҡорт,62577,175956,1232880,7,37632,93,1493,0.3556,1.41.0-wmf.4,n/a,archive,200,117,8,2023-04-18 00:03:36 (~ 6 hrs ago)
91,lb,Luxembourgish,Lëtzebuergesch,61657,134373,2428478,6,57552,80,2382,0.4588,1.41.0-wmf.4,n/a,archive,200,86,8,2023-04-18 00:02:33 (~ 6 hrs ago)
92,su,Sundanese,Basa Sunda,61446,97812,653842,6,29653,51,545,0.6282,1.41.0-wmf.4,n/a,archive,200,80,8,2023-04-18 00:02:21 (~ 6 hrs ago)
93,ku,Kurdish,Kurdî / كوردی,59067,117235,1170769,3,55019,99,564,0.5038,1.41.0-wmf.4,n/a,archive,200,12,8,2023-04-18 00:07:32 (~ 5 hrs ago)
94,ga,Irish,Gaeilge,58432,99283,1130064,7,55723,86,1154,0.5885,1.41.0-wmf.4,n/a,archive,200,61,8,2023-04-18 00:01:39 (~ 6 hrs ago)
95,lmo,Lombard,Lumbaart,57638,128064,1156229,5,39884,51,4436,0.4501,1.41.0-wmf.4,n/a,archive,200,181,8,2023-04-18 00:05:41 (~ 6 hrs ago)
96,szl,Silesian,Ślůnski,56866,70541,353678,3,22958,42,0,0.8061,1.41.0-wmf.4,n/a,archive,200,279,8,2023-04-18 00:09:30 (~ 5 hrs ago)
97,is,Icelandic,Íslenska,56358,146168,1798728,19,90832,131,3215,0.3856,1.41.0-wmf.4,n/a,archive,200,34,8,2023-04-18 00:00:43 (~ 6 hrs ago)
98,fy,West Frisian,Frysk,51257,156616,1115314,8,45572,74,7715,0.3273,1.41.0-wmf.4,n/a,archive,200,78,8,2023-04-18 00:02:17 (~ 6 hrs ago)
99,cv,Chuvash,Чăваш,51022,103155,787361,2,32704,57,537,0.4946,1.41.0-wmf.4,n/a,archive,200,159,8,2023-04-18 00:04:57 (~ 6 hrs ago)
100,ckb,Sorani,Soranî / کوردی,49143,203573,1067060,8,55781,145,1949,0.2414,1.41.0-wmf.4,n/a,archive,200,284,8,2023-04-18 00:09:21 (~ 5 hrs ago)
101,pa,Punjabi,ਪੰਜਾਬੀ,47162,154741,668868,9,45106,128,1846,0.3048,1.41.0-wmf.4,n/a,archive,200,108,8,2023-04-18 00:03:19 (~ 6 hrs ago)
102,tl,Tagalog,Tagalog,44458,237560,2007996,11,130893,160,1897,0.1871,1.41.0-wmf.4,n/a,archive,200,101,8,2023-04-18 00:03:05 (~ 6 hrs ago)
103,an,Aragonese,Aragonés,43651,133748,1923718,6,71935,82,1551,0.3264,1.41.0-wmf.4,n/a,archive,200,75,8,2023-04-18 00:02:10 (~ 6 hrs ago)
104,wuu,Wu,吴语,42809,56974,302593,4,82222,52,132,0.7514,1.41.0-wmf.4,n/a,archive,200,243,8,2023-04-18 00:10:39 (~ 5 hrs ago)
105,diq,Zazaki,Zazaki,40349,61102,518205,3,26265,29,199,0.6604,1.41.0-wmf.4,n/a,archive,200,254,8,2023-04-18 00:10:16 (~ 5 hrs ago)
