Number,Wiki,Language,Language (local),Good,Total,Edits,Admins,Users,Active Users,Files,Stub Ratio,Version,License,Archive,HTTP,ID,mt,Last update
216,lo,Lao,ລາວ,3963,13126,100228,2,17032,22,0,0.3019,1.41.0-wmf.4,n/a,archive,200,182,8,2023-04-18 00:05:43 (~ 6 hrs ago)
217,ang,Anglo-Saxon,Englisc,3937,17053,208893,2,121155,49,299,0.2309,1.41.0-wmf.4,n/a,archive,200,29,8,2023-04-18 00:00:32 (~ 6 hrs ago)
218,fur,Friulian,Furlan,3841,8844,171756,2,13788,20,318,0.4343,1.41.0-wmf.4,n/a,archive,200,163,8,2023-04-18 00:05:06 (~ 6 hrs ago)
219,rm,Romansh,Rumantsch,3757,9622,163941,3,19342,20,51,0.3905,1.41.0-wmf.4,n/a,archive,200,131,8,2023-04-18 00:04:03 (~ 6 hrs ago)
220,lad,Ladino,Dzhudezmo,3625,12998,210760,4,20436,22,23,0.2789,1.41.0-wmf.4,n/a,archive,200,178,8,2023-04-18 00:05:35 (~ 6 hrs ago)
221,gom,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,3570,9271,207571,4,9208,21,0,0.3851,1.41.0-wmf.4,n/a,archive,200,307,8,2023-04-18 00:08:23 (~ 5 hrs ago)
222,koi,Komi-Permyak,Перем Коми (Perem Komi),3443,11497,60832,1,8247,17,0,0.2995,1.41.0-wmf.4,n/a,archive,200,294,8,2023-04-18 00:09:00 (~ 5 hrs ago)
223,ext,Extremaduran,Estremeñu,3433,8064,123716,2,16742,36,0,0.4257,1.41.0-wmf.4,n/a,archive,200,273,8,2023-04-18 00:09:51 (~ 5 hrs ago)
224,tyv,Tuvan,тыва дыл,3395,11741,44298,1,8593,19,0,0.2892,1.41.0-wmf.4,n/a,archive,200,305,8,2023-04-18 00:08:42 (~ 5 hrs ago)
225,dsb,Lower Sorbian,Dolnoserbski,3337,11235,143833,1,17864,23,0,0.297,1.41.0-wmf.4,n/a,archive,200,270,8,2023-04-18 00:09:43 (~ 5 hrs ago)
226,av,Avar,Авар,3335,15892,86714,2,14091,23,0,0.2099,1.41.0-wmf.4,n/a,archive,200,146,8,2023-04-18 00:04:32 (~ 6 hrs ago)
227,ln,Lingala,Lingala,3329,8713,122666,4,12505,24,32,0.3821,1.41.0-wmf.4,n/a,archive,200,126,8,2023-04-18 00:03:55 (~ 6 hrs ago)
228,dty,Doteli,डोटेली,3325,19750,238501,3,5977,18,3,0.1684,1.41.0-wmf.4,n/a,archive,200,317,8,2023-04-18 00:08:21 (~ 5 hrs ago)
229,kaa,Karakalpak,Qaraqalpaqsha,3244,8888,59074,5,11186,51,22,0.365,1.41.0-wmf.4,n/a,archive,200,277,8,2023-04-18 00:09:34 (~ 5 hrs ago)
230,pap,Papiamentu,Papiamentu,3154,6526,97803,5,14038,19,0,0.4833,1.41.0-wmf.4,n/a,archive,200,238,8,2023-04-18 00:10:50 (~ 5 hrs ago)
231,cbk-zam,Zamboanga Chavacano,Chavacano de Zamboanga,3128,8279,112476,1,13999,16,0,0.3778,1.41.0-wmf.4,n/a,archive,200,257,8,2023-04-18 00:10:10 (~ 5 hrs ago)
232,dv,Divehi,ދިވެހިބަސް,3025,11446,130706,4,24222,22,932,0.2643,1.41.0-wmf.4,n/a,archive,200,160,8,2023-04-18 00:04:59 (~ 6 hrs ago)
233,mdf,Moksha,Мокшень (Mokshanj Kälj),3012,14045,70026,3,8981,15,0,0.2145,1.41.0-wmf.4,n/a,archive,200,276,8,2023-04-18 00:09:36 (~ 5 hrs ago)
234,ksh,Ripuarian,Ripoarisch,2940,10584,1607365,3,22069,18,0,0.2778,1.41.0-wmf.4,n/a,archive,200,231,8,2023-04-18 00:07:00 (~ 5 hrs ago)
235,tw,Twi,Twi,2904,6180,107240,2,14756,48,0,0.4699,1.41.0-wmf.4,n/a,archive,200,139,8,2023-04-18 00:04:18 (~ 6 hrs ago)
236,ks,Kashmiri,कश्मीरी / كشميري,2864,10558,75800,2,10069,24,10,0.2713,1.41.0-wmf.4,n/a,archive,200,85,8,2023-04-18 00:02:31 (~ 6 hrs ago)
237,gag,Gagauz,Gagauz,2803,6608,68258,1,13406,16,0,0.4242,1.41.0-wmf.4,n/a,archive,200,295,8,2023-04-18 00:09:03 (~ 5 hrs ago)
238,bxr,Buryat (Russia),Буряад,2772,11081,70414,1,14576,23,9,0.2502,1.41.0-wmf.4,n/a,archive,200,248,8,2023-04-18 00:10:29 (~ 5 hrs ago)
239,pfl,Palatinate German,Pfälzisch,2741,6927,90344,4,11279,16,0,0.3957,1.41.0-wmf.4,n/a,archive,200,296,8,2023-04-18 00:09:05 (~ 5 hrs ago)
240,lg,Luganda,Luganda,2689,6725,29999,2,7822,17,0,0.3999,1.41.0-wmf.4,n/a,archive,200,179,8,2023-04-18 00:05:37 (~ 6 hrs ago)
241,za,Zhuang,Cuengh,2568,4925,40752,2,10213,16,0,0.5214,1.41.0-wmf.4,n/a,archive,200,213,8,2023-04-18 00:06:42 (~ 5 hrs ago)
242,pi,Pali,पाऴि,2548,4655,101941,2,6971,10,1,0.5474,1.41.0-wmf.4,n/a,archive,200,192,8,2023-04-18 00:06:00 (~ 6 hrs ago)
243,pag,Pangasinan,Pangasinan,2503,6499,75955,2,7917,18,0,0.3851,1.41.0-wmf.4,n/a,archive,200,251,8,2023-04-18 00:10:22 (~ 5 hrs ago)
244,szy,Sakizaya,Sakizaya,2502,5512,130938,1,2616,9,0,0.4539,1.41.0-wmf.4,n/a,archive,200,331,8,2023-04-18 00:07:07 (~ 5 hrs ago)
245,haw,Hawaiian,Hawai`i,2499,5610,97142,1,16038,38,0,0.4455,1.41.0-wmf.4,n/a,archive,200,166,8,2023-04-18 00:05:12 (~ 6 hrs ago)
246,awa,Awadhi,ქართული,2436,5365,24284,1,2354,10,0,0.4541,1.41.0-wmf.4,n/a,archive,200,333,8,2023-04-18 00:00:16 (~ 6 hrs ago)
247,tay,Atayal,Tayal,2421,2880,54666,1,1403,11,0,0.8406,1.41.0-wmf.4,n/a,archive,200,344,8,2023-04-18 00:11:15 (~ 5 hrs ago)
248,blk,Pa'O,ပအိုဝ်ႏဘာႏသာႏ,2304,5387,25572,3,786,12,0,0.4277,1.41.0-wmf.4,n/a,archive,200,352,8,2023-04-18 00:00:01 (~ 6 hrs ago)
249,inh,Ingush,ГӀалгӀай,2167,13130,61639,2,3765,8,41,0.165,1.41.0-wmf.4,n/a,archive,200,322,8,2023-04-18 00:08:12 (~ 5 hrs ago)
250,krc,Karachay-Balkar,Къарачай-Малкъар (Qarachay-Malqar),2075,14360,106985,1,10069,16,0,0.1445,1.41.0-wmf.4,n/a,archive,200,289,8,2023-04-18 00:05:47 (~ 6 hrs ago)
251,xal,Kalmyk,Хальмг,2048,12117,88420,1,9732,12,0,0.169,1.41.0-wmf.4,n/a,archive,200,237,8,2023-04-18 00:10:52 (~ 5 hrs ago)
252,pdc,Pennsylvania German,Deitsch,2003,5916,105558,1,31742,28,0,0.3386,1.41.0-wmf.4,n/a,archive,200,232,8,2023-04-18 00:07:02 (~ 5 hrs ago)
253,to,Tongan,faka Tonga,1957,5408,42556,2,9853,14,12,0.3619,1.41.0-wmf.4,n/a,archive,200,204,8,2023-04-18 00:06:25 (~ 5 hrs ago)
254,atj,Atikamekw,Atikamekw Nehiromowin,1950,3071,15078,5,4072,6,0,0.635,1.41.0-wmf.4,n/a,archive,200,318,8,2023-04-18 00:08:19 (~ 5 hrs ago)
255,arc,Aramaic,ܐܪܡܝܐ,1886,6490,95689,2,19577,14,0,0.2906,1.41.0-wmf.4,n/a,archive,200,145,8,2023-04-18 00:04:30 (~ 6 hrs ago)
256,tcy,Tulu,ತುಳು ಭಾಷೆ,1872,9921,109097,3,5369,20,9,0.1887,1.41.0-wmf.4,n/a,archive,200,312,8,2023-04-18 00:08:29 (~ 5 hrs ago)
257,mnw,Mon,ဘာသာ မန်,1775,6225,39721,3,3124,21,0,0.2851,1.41.0-wmf.4,n/a,archive,200,329,8,2023-04-18 00:07:19 (~ 5 hrs ago)
258,jam,Jamaican,Patois,1703,3055,21047,1,7912,12,0,0.5574,1.41.0-wmf.4,n/a,archive,200,311,8,2023-04-18 00:08:31 (~ 5 hrs ago)
259,kbp,Kabiye,Kabɩyɛ,1697,3372,16256,2,4203,7,0,0.5033,1.41.0-wmf.4,n/a,archive,200,319,8,2023-04-18 00:07:55 (~ 5 hrs ago)
260,na,Nauruan,dorerin Naoero,1670,4900,89890,1,12045,17,4,0.3408,1.41.0-wmf.4,n/a,archive,200,79,8,2023-04-18 00:02:19 (~ 6 hrs ago)
261,wo,Wolof,Wolof,1653,5381,104839,3,14562,20,0,0.3072,1.41.0-wmf.4,n/a,archive,200,140,8,2023-04-18 00:04:20 (~ 6 hrs ago)
262,kbd,Kabardian Circassian,Адыгэбзэ (Adighabze),1598,6883,45800,1,9528,10,0,0.2322,1.41.0-wmf.4,n/a,archive,200,299,8,2023-04-18 00:08:52 (~ 5 hrs ago)
263,nia,Nias,Li Niha,1570,3806,20059,3,1494,10,0,0.4125,1.41.0-wmf.4,n/a,archive,200,341,8,2023-04-18 00:11:08 (~ 5 hrs ago)
264,nov,Novial,Novial,1530,4429,178264,2,11317,17,0,0.3455,1.41.0-wmf.4,n/a,archive,200,250,8,2023-04-18 00:10:25 (~ 5 hrs ago)
265,shi,Tachelhit,Taclhit,1524,4387,41257,2,2067,17,0,0.3474,1.41.0-wmf.4,n/a,archive,200,347,8,2023-04-18 00:11:23 (~ 5 hrs ago)
266,ki,Kikuyu,Gĩkũyũ,1505,3089,20898,1,8447,13,0,0.4872,1.41.0-wmf.4,n/a,archive,200,175,8,2023-04-18 00:05:29 (~ 6 hrs ago)
267,nqo,N'Ko,ߒߞߏ,1465,3188,11198,2,3404,10,0,0.4595,1.41.0-wmf.4,n/a,archive,200,327,8,2023-04-18 00:07:59 (~ 5 hrs ago)
268,anp,Angika,अंगिका,1431,4312,17716,2,341,28,0,0.3319,1.41.0-wmf.4,n/a,archive,200,356,8,2023-04-18 00:11:36 (~ 5 hrs ago)
269,bi,Bislama,Bislama,1409,3332,42455,2,12675,19,0,0.4229,1.41.0-wmf.4,n/a,archive,200,148,8,2023-04-18 00:04:36 (~ 6 hrs ago)
270,tpi,Tok Pisin,Tok Pisin,1359,5695,87004,1,12949,16,0,0.2386,1.41.0-wmf.4,n/a,archive,200,84,8,2023-04-18 00:02:29 (~ 6 hrs ago)
271,tet,Tetum,Tetun,1349,3803,67414,2,9314,18,0,0.3547,1.41.0-wmf.4,n/a,archive,200,236,8,2023-04-18 00:10:54 (~ 5 hrs ago)
272,jbo,Lojban,Lojban,1326,5746,112039,1,15725,22,0,0.2308,1.41.0-wmf.4,n/a,archive,200,173,8,2023-04-18 00:05:27 (~ 6 hrs ago)
273,roa-rup,Aromanian,Armãneashce,1306,4340,206678,1,13509,24,0,0.3009,1.41.0-wmf.4,n/a,archive,200,195,8,2023-04-18 00:06:06 (~ 6 hrs ago)
274,xh,Xhosa,isiXhosa,1290,3974,34591,1,12419,17,0,0.3246,1.41.0-wmf.4,n/a,archive,200,141,8,2023-04-18 00:04:22 (~ 6 hrs ago)
275,fj,Fijian,Na Vosa Vakaviti,1277,3644,35611,1,8760,20,0,0.3504,1.41.0-wmf.4,n/a,archive,200,89,8,2023-04-18 00:02:40 (~ 6 hrs ago)
276,om,Oromo,Oromoo,1273,4177,39517,1,10164,17,0,0.3048,1.41.0-wmf.4,n/a,archive,200,189,8,2023-04-18 00:05:54 (~ 6 hrs ago)
277,kg,Kongo,KiKongo,1270,2930,44067,1,10441,14,0,0.4334,1.41.0-wmf.4,n/a,archive,200,226,8,2023-04-18 00:06:46 (~ 5 hrs ago)
278,lbe,Lak,Лакку,1264,15129,51078,1,8125,11,0,0.0835,1.41.0-wmf.4,n/a,archive,200,246,8,2023-04-18 00:10:33 (~ 5 hrs ago)
279,ty,Tahitian,Reo Mā`ohi,1218,3000,53256,1,7162,14,0,0.406,1.41.0-wmf.4,n/a,archive,200,206,8,2023-04-18 00:06:29 (~ 5 hrs ago)
280,guw,Gun,Gungbè,1200,2232,34907,2,888,15,0,0.5376,1.41.0-wmf.4,n/a,archive,200,350,8,2023-04-18 00:11:29 (~ 5 hrs ago)
281,cu,Old Church Slavonic,Словѣньскъ,1194,5634,84086,2,24205,24,0,0.2119,1.41.0-wmf.4,n/a,archive,200,259,8,2023-04-18 00:10:06 (~ 5 hrs ago)
282,trv,Seediq,Kari Seediq,1129,1974,91753,1,1497,18,0,0.5719,1.41.0-wmf.4,n/a,archive,200,345,8,2023-04-18 00:11:17 (~ 5 hrs ago)
283,srn,Sranan,Sranantongo,1117,2737,39346,1,7376,12,0,0.4081,1.41.0-wmf.4,n/a,archive,200,280,8,2023-04-18 00:09:28 (~ 5 hrs ago)
284,sm,Samoan,Gagana Samoa,1073,3341,43041,1,10047,14,0,0.3212,1.41.0-wmf.4,n/a,archive,200,98,8,2023-04-18 00:02:58 (~ 6 hrs ago)
285,alt,Altai,алтай тил,1063,4342,39882,3,2165,8,0,0.2448,1.41.0-wmf.4,n/a,archive,200,343,8,2023-04-18 00:11:13 (~ 5 hrs ago)
286,gcr,Guianan Creole,Kriyòl Gwiyannen,1059,2604,16722,1,2556,22,0,0.4067,1.41.0-wmf.4,n/a,archive,200,330,8,2023-04-18 00:07:09 (~ 5 hrs ago)
287,chr,Cherokee,ᏣᎳᎩ,1052,4129,48153,1,23204,22,0,0.2548,1.41.0-wmf.4,n/a,archive,200,156,8,2023-04-18 00:04:51 (~ 6 hrs ago)
288,ltg,Latgalian,Latgaļu,1040,3300,36106,1,7053,13,0,0.3152,1.41.0-wmf.4,n/a,archive,200,298,8,2023-04-18 00:08:54 (~ 5 hrs ago)
289,tn,Tswana,Setswana,1033,4394,31105,2,9744,22,4,0.2351,1.41.0-wmf.4,n/a,archive,200,137,8,2023-04-18 00:04:14 (~ 6 hrs ago)
290,ny,Chichewa,Chi-Chewa,1022,4665,41688,3,10118,11,0,0.2191,1.41.0-wmf.4,n/a,archive,200,188,8,2023-04-18 00:05:52 (~ 6 hrs ago)
291,mad,Madurese,Madhurâ,1016,1791,12801,1,2003,32,0,0.5673,1.41.0-wmf.4,n/a,archive,200,338,8,2023-04-18 00:11:02 (~ 5 hrs ago)
292,st,Sesotho,Sesotho,912,4401,29313,2,9976,17,0,0.2072,1.41.0-wmf.4,n/a,archive,200,135,8,2023-04-18 00:04:11 (~ 6 hrs ago)
293,pih,Norfolk,Norfuk,896,3338,44353,1,11034,14,0,0.2684,1.41.0-wmf.4,n/a,archive,200,193,8,2023-04-18 00:06:02 (~ 6 hrs ago)
294,got,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,872,3820,46434,1,18632,18,0,0.2283,1.41.0-wmf.4,n/a,archive,200,164,8,2023-04-18 00:05:08 (~ 6 hrs ago)
295,ee,Ewe,Eʋegbe,823,3600,54642,2,13969,33,0,0.2286,1.41.0-wmf.4,n/a,archive,200,224,8,2023-04-18 00:06:50 (~ 5 hrs ago)
296,ami,Amis,Pangcah / 'Amis,815,1840,35893,1,1465,17,0,0.4429,1.41.0-wmf.4,n/a,archive,200,348,8,2023-04-18 00:11:19 (~ 5 hrs ago)
297,rmy,Romani,romani - रोमानी,815,2860,50792,1,17001,17,0,0.285,1.41.0-wmf.4,n/a,archive,200,239,8,2023-04-18 00:10:47 (~ 5 hrs ago)
298,bm,Bambara,Bamanankan,794,3221,40815,2,10365,19,0,0.2465,1.41.0-wmf.4,n/a,archive,200,149,8,2023-04-18 00:04:39 (~ 6 hrs ago)
299,ff,Fula,Fulfulde,768,3097,29468,2,8468,49,0,0.248,1.41.0-wmf.4,n/a,archive,200,161,8,2023-04-18 00:05:02 (~ 6 hrs ago)
300,ve,Venda,Tshivenda,748,2251,19640,1,7627,26,0,0.3323,1.41.0-wmf.4,n/a,archive,200,209,8,2023-04-18 00:06:35 (~ 5 hrs ago)
301,ts,Tsonga,Xitsonga,733,3824,37343,2,9481,16,0,0.1917,1.41.0-wmf.4,n/a,archive,200,138,8,2023-04-18 00:04:16 (~ 6 hrs ago)
302,chy,Cheyenne,Tsetsêhestâhese,697,2241,24541,1,11143,14,0,0.311,1.41.0-wmf.4,n/a,archive,200,157,8,2023-04-18 00:04:53 (~ 6 hrs ago)
303,ss,Swati,SiSwati,637,2539,38742,3,8046,22,0,0.2509,1.41.0-wmf.4,n/a,archive,200,134,8,2023-04-18 00:04:09 (~ 6 hrs ago)
304,kcg,Tyap,Tyap,629,3402,21461,2,872,9,0,0.1849,1.41.0-wmf.4,n/a,archive,200,351,8,2023-04-18 00:00:03 (~ 6 hrs ago)
305,rn,Kirundi,Kirundi,626,2484,23308,1,9377,18,0,0.252,1.41.0-wmf.4,n/a,archive,200,194,8,2023-04-18 00:06:04 (~ 6 hrs ago)
306,pcm,Nigerian Pidgin,Naija,623,1674,20344,2,819,24,0,0.3722,1.41.0-wmf.4,n/a,archive,200,353,8,2023-04-18 00:11:27 (~ 5 hrs ago)
307,ch,Chamorro,Chamoru,546,2515,23363,1,15128,16,0,0.2171,1.41.0-wmf.4,n/a,archive,200,154,8,2023-04-18 00:04:47 (~ 6 hrs ago)
308,ik,Inupiak,Iñupiak,503,2707,38926,2,8365,11,0,0.1858,1.41.0-wmf.4,n/a,archive,200,171,8,2023-04-18 00:05:22 (~ 6 hrs ago)
309,pnt,Pontic,Ποντιακά,486,2056,35306,1,9925,9,0,0.2364,1.41.0-wmf.4,n/a,archive,200,282,8,2023-04-18 00:09:39 (~ 5 hrs ago)
310,ady,Adyghe,адыгабзэ,468,3396,12736,1,6602,10,0,0.1378,1.41.0-wmf.4,n/a,archive,200,310,8,2023-04-18 00:08:27 (~ 5 hrs ago)
311,guc,Wayuu,wayuunaiki,468,836,11578,1,462,24,0,0.5598,1.41.0-wmf.4,n/a,archive,200,354,8,2023-04-18 00:11:31 (~ 5 hrs ago)
312,iu,Inuktitut,ᐃᓄᒃᑎᑐᑦ,449,3012,46169,2,18253,26,0,0.1491,1.41.0-wmf.4,n/a,archive,200,124,8,2023-04-18 00:03:51 (~ 6 hrs ago)
313,ak,Akan,Akana,417,2197,29842,1,13604,18,0,0.1898,1.41.0-wmf.4,n/a,archive,200,144,8,2023-04-18 00:04:28 (~ 6 hrs ago)
314,pwn,Paiwan,Pinayuanan,326,502,11896,1,1209,8,0,0.6494,1.41.0-wmf.4,n/a,archive,200,349,8,2023-04-18 00:11:21 (~ 5 hrs ago)
315,sg,Sango,Sängö,311,1981,20669,2,6285,12,0,0.157,1.41.0-wmf.4,n/a,archive,200,198,8,2023-04-18 00:06:12 (~ 5 hrs ago)
316,din,Dinka,Thuɔŋjäŋ,308,1089,8263,1,6010,7,0,0.2828,1.41.0-wmf.4,n/a,archive,200,320,8,2023-04-18 00:08:17 (~ 5 hrs ago)
317,ti,Tigrinya,ትግርኛ,257,2771,24157,2,8969,12,0,0.0927,1.41.0-wmf.4,n/a,archive,200,202,8,2023-04-18 00:06:21 (~ 5 hrs ago)
318,kl,Greenlandic,Kalaallisut,242,2266,74750,3,12812,15,0,0.1068,1.41.0-wmf.4,n/a,archive,200,125,8,2023-04-18 00:03:53 (~ 6 hrs ago)
319,dz,Dzongkha,ཇོང་ཁ,237,2621,30176,1,9808,16,0,0.0904,1.41.0-wmf.4,n/a,archive,200,120,8,2023-04-18 00:03:42 (~ 6 hrs ago)
320,gur,Gurenɛ,Gurenɛ,220,912,5871,1,369,40,0,0.2412,1.41.0-wmf.4,n/a,archive,200,355,8,2023-04-18 00:11:34 (~ 5 hrs ago)
321,cr,Cree,Nehiyaw,161,2190,38229,2,17836,15,0,0.0735,1.41.0-wmf.4,n/a,archive,200,158,8,2023-04-18 00:04:55 (~ 6 hrs ago)
322,ng,Ndonga,Oshiwambo,8,442,5923,1,2386,1,0,0.0181,1.41.0-wmf.4,n/a,archive,200,290,8,2023-04-18 00:09:11 (~ 5 hrs ago)
323,cho,Choctaw,Choctaw,6,201,4220,1,1810,2,0,0.0299,1.41.0-wmf.4,n/a,archive,200,155,8,2023-04-18 00:04:49 (~ 6 hrs ago)
324,mh,Marshallese,Ebon,4,206,4212,1,2144,1,0,0.0194,1.41.0-wmf.4,n/a,archive,200,183,8,2023-04-18 00:05:45 (~ 6 hrs ago)
325,kj,Kuanyama,Kuanyama,4,114,3548,1,1379,1,0,0.0351,1.41.0-wmf.4,n/a,archive,200,225,8,2023-04-18 00:06:52 (~ 5 hrs ago)
326,ho,Hiri Motu,Hiri Motu,3,129,3786,1,1577,1,0,0.0233,1.41.0-wmf.4,n/a,archive,200,165,8,2023-04-18 00:05:10 (~ 6 hrs ago)
327,ii,Sichuan Yi,ꆇꉙ,3,189,11653,1,2033,1,0,0.0159,1.41.0-wmf.4,n/a,archive,200,170,8,2023-04-18 00:05:20 (~ 6 hrs ago)
328,lrc,Northern Luri,لۊری شومالی,1,238,140069,2,5039,4,0,0.0042,1.41.0-wmf.4,n/a,archive,200,308,8,2023-04-18 00:08:33 (~ 5 hrs ago)
329,mus,Muscogee,Muskogee,1,115,3603,1,2350,1,0,0.0087,1.41.0-wmf.4,n/a,archive,200,223,8,2023-04-18 00:06:48 (~ 5 hrs ago)
330,aa,Afar,Afar,0,509,4685,1,4065,1,0,0,1.41.0-wmf.4,n/a,archive,200,267,8,2023-04-18 00:09:45 (~ 5 hrs ago)
331,hz,Herero,Otsiherero,0,176,4483,1,3763,2,0,0,1.41.0-wmf.4,n/a,archive,200,168,8,2023-04-18 00:05:16 (~ 6 hrs ago)
332,kr,Kanuri,Kanuri,0,162,4641,1,5466,1,0,0,1.41.0-wmf.4,n/a,archive,200,176,8,2023-04-18 00:05:31 (~ 6 hrs ago)
